file,N,perturbation,mean_F_A,mean_F_B,mean_F_C,mean_F_D,mean_F_E,mean_F_A_socratic,mean_F_B_socratic,mean_F_C_socratic,mean_F_D_socratic,mean_F_E_socratic,n_socratic,mean_F_A_validation,mean_F_B_validation,mean_F_C_validation,mean_F_D_validation,mean_F_E_validation,n_validation,mean_F_A_alternative,mean_F_B_alternative,mean_F_C_alternative,mean_F_D_alternative,mean_F_E_alternative,n_alternative
cbt_mcot_transcript_1.json,10,0.04013864199320475,0.009707481629766262,0.00333783733284522,0.005016799229256108,0.0057317482132477615,0.005996111744875707,0.009707481629766262,0.00333783733284522,0.005016799229256108,0.0057317482132477615,0.005996111744875707,10,,,,,,0,,,,,,0
cbt_mcot_transcript_10.json,10,0.1126580039660136,0.00890733409087936,0.003402392609389188,0.005029721345955229,0.0058386065883344425,0.00662098652540849,0.007581476289051424,0.003020480760451502,0.004578345946876677,0.005139043669422437,0.005797992527660768,8,0.011922510609692913,0.0036669022453544257,0.004759444547549815,0.005407116612758129,0.0061099410265282655,1,0.016499019986689303,0.006193177764925442,0.008911001336989046,0.011866599915206798,0.013715984006270499,1
cbt_mcot_transcript_11.json,10,0.033411264419555664,0.0028263424174191838,0.0009004866291148543,0.0012851417401256314,0.0015764522584700794,0.0016418708223464302,0.002074023307890178,0.0006597317702985027,0.0009432339770007915,0.001101694170003105,0.0011449296347470993,9,0.009597214403180239,0.0030672803584620182,0.0043623116082491895,0.005849275054672848,0.006114341510740408,1,,,,,,0
cbt_mcot_transcript_12.json,10,0.0800214409828186,0.011319757261796053,0.0037569071130701876,0.005377427415488956,0.006331685766564031,0.0069368676040465205,0.011718561349270002,0.0039590403813406175,0.00570888812177671,0.0067179258050724475,0.0073595956257501306,9,0.007730520474530529,0.0019377076986363173,0.0023942810588991744,0.002855525419988288,0.0031323154087140414,1,,,,,,0
cbt_mcot_transcript_13.json,10,0.06385626395543416,0.021281660547834803,0.006553748830645962,0.009111844052664273,0.0106952300872932,0.011507831195641607,0.013271069906587541,0.00478160315602989,0.007075009604629257,0.008007570245759767,0.008591215396742919,8,0.053324023112823846,0.01364233152911025,0.01725918184480433,0.021445869453426934,0.023174294391236364,2,,,,,,0
cbt_mcot_transcript_14.json,10,0.09870455662409465,0.0047282896200651235,0.0017156260988028097,0.002479221603770041,0.0027442645388551165,0.003047382256550906,0.0035977654672942013,0.0014155262430096845,0.0021459638898239514,0.002411052637265246,0.002681732545812995,6,0.006424075849221507,0.0021657758824924975,0.002979108174689176,0.003244082391239922,0.0035958568226577723,4,,,,,,0
cbt_mcot_transcript_2.json,10,0.03926100333531698,0.009050266537537079,0.0025677291749064825,0.0034883061985086705,0.0044385241532165064,0.004663077140320072,0.0032534057392367985,0.0011197344241046432,0.0016556325231806583,0.0019256689220366404,0.0020141704257869825,4,0.0129148404030706,0.0035330590087743756,0.0047100886487273464,0.006113760974003082,0.0064290149500087984,6,,,,,,0
cbt_mcot_transcript_3.json,10,0.11074437697728474,0.019363707347778647,0.007543241494310809,0.011247450005053079,0.0135322824381257,0.015378016124690858,0.021544685710543243,0.00837633218544534,0.01248987795285546,0.014909030640036777,0.016923122486673804,8,0.01063979389672026,0.004210878729772689,0.0062777382138435546,0.008025289630481394,0.009197590676759076,2,,,,,,0
cbt_mcot_transcript_4.json,10,0.04010399182637533,0.023678620016914072,0.006643003667894667,0.008934907186788351,0.011193185648864361,0.011764420879026922,0.023834947315691968,0.007416447297363357,0.010390102102963388,0.012030123532716621,0.012592291208147947,4,0.023574401817728807,0.006127374581582207,0.007964777242671658,0.010635227059629519,0.011212507326279571,6,,,,,,0
cbt_mcot_transcript_5.json,10,0.030042588710784912,0.017414749012517397,0.006122863942669261,0.009210283721768627,0.010173618864890092,0.010512452418247897,0.01729957992949408,0.006186908733784045,0.009378201933761352,0.010293485577071075,0.010633907831006642,9,0.018451270759727256,0.005546460822636206,0.007699019813834104,0.009094818455261259,0.009419353703419212,1,,,,,,0
cbt_mcot_transcript_6.json,10,0.07193028926849365,0.007599132892932387,0.002663193715981448,0.003836274208645593,0.004333870652445513,0.004689363008765461,0.00842713181183904,0.0029542954107939067,0.004256171605864027,0.004807637542523045,0.005201933817592042,9,0.0001471426227725043,4.3278462669319206e-05,5.719763367968762e-05,6.996864174772228e-05,7.622572932622418e-05,1,,,,,,0
cbt_mcot_transcript_7.json,10,0.04997167984644572,0.0058583468701627105,0.0021116939306633966,0.0032266630964007787,0.0035158026937555805,0.0037080978860194033,0.0058583468701627105,0.0021116939306633966,0.0032266630964007787,0.0035158026937555805,0.0037080978860194033,10,,,,,,0,,,,,,0
cbt_mcot_transcript_8.json,10,0.06491533915201823,0.020062140906459157,0.006675794736201548,0.009536015657369497,0.010859716010712075,0.011669950491621828,0.010006571496140109,0.0032244604346991983,0.004543671535913964,0.005083214877308946,0.005455244946918379,6,0.03514549502193773,0.011852796188455073,0.0170245318395528,0.019524467710816763,0.020992008808677003,4,,,,,,0
cbt_mcot_transcript_9.json,10,0.020787596702575684,0.0032014914561861473,0.0009853635625349942,0.0014094738620957664,0.0015780342820172488,0.0016148546116095965,0.0029519377960783976,0.00088491586792136,0.0012512175955649069,0.0014062213412352443,0.0014391594495402832,9,0.005447474397155892,0.0018893928140577025,0.0028337802608735013,0.0031243507490552906,0.0031961110702334143,1,,,,,,0
