file,model,mode,N,uCLiD,alpha,nCLiD,nCLiD_local_socratic,n_socratic,nCLiD_local_validation,n_validation,nCLiD_local_alternative,n_alternative
cbt_mcot_transcript_1.json,mistral:7b,cbt_mcot,10,0.3559141933917999,0.6796050750546986,0.5237073801474391,0.5877066469740746,3,0.4665311745670739,5,0.5706489938583988,2
cbt_mcot_transcript_10.json,mistral:7b,cbt_mcot,10,0.33362995386123656,0.5544364862971836,0.601746028818182,,0,0.601746028818182,10,,0
cbt_mcot_transcript_11.json,mistral:7b,cbt_mcot,10,0.4212033748626709,0.6002297666337755,0.7017368985628202,,0,0.7017368985628202,10,,0
cbt_mcot_transcript_12.json,mistral:7b,cbt_mcot,10,0.4865365743637085,0.7529040513767137,0.6462132505118785,0.6909005454883527,4,0.6164217205275623,6,,0
cbt_mcot_transcript_13.json,mistral:7b,cbt_mcot,10,0.3459468424320221,0.612726589706209,0.5646023010000222,0.5351603336924499,2,0.5719627928269153,8,,0
cbt_mcot_transcript_14.json,mistral:7b,cbt_mcot,10,0.4303969740867615,0.7140405997633934,0.6027626079376706,0.7153468924033618,5,0.46590456012942905,4,0.5872733768421804,1
cbt_mcot_transcript_2.json,mistral:7b,cbt_mcot,10,0.4072032034397125,0.6867282708485921,0.592961176531338,0.6306460931896473,3,0.5768104979634912,7,,0
cbt_mcot_transcript_3.json,mistral:7b,cbt_mcot,10,0.39915186166763306,0.6786403195725548,0.5881640836180216,0.6192301004860171,5,0.43113716247711426,3,0.7460394231593941,2
cbt_mcot_transcript_4.json,mistral:7b,cbt_mcot,10,0.4474455237388611,0.7961709962950813,0.5619967642893466,0.5402615228469296,1,0.556153286208585,8,0.6304798303778572,1
cbt_mcot_transcript_5.json,mistral:7b,cbt_mcot,10,0.39685300886631014,0.7266298555665546,0.5461556607206611,0.6268771130811628,3,0.4549740366764236,6,0.8510810479045804,1
cbt_mcot_transcript_6.json,mistral:7b,cbt_mcot,10,0.34569712579250333,0.636890361044142,0.542789068476016,0.6383442579632151,3,0.5235892614573578,6,0.37132234212636794,1
cbt_mcot_transcript_7.json,mistral:7b,cbt_mcot,10,0.35001150369644163,0.7044264154301749,0.4968744726625544,0.6009733006932264,4,0.4295908997770604,5,0.41689702496733666,1
cbt_mcot_transcript_8.json,mistral:7b,cbt_mcot,10,0.4098238438367844,0.6602046726478471,0.6207527162646791,0.8765888126847495,3,0.4813419583530248,6,0.6897089744743929,1
cbt_mcot_transcript_9.json,mistral:7b,cbt_mcot,10,0.3785619676113129,0.7170550935798221,0.5279398626420491,,0,0.5047055018037462,6,0.5627914038995032,4
